# time[sec] ratio
2.979389999999999873e+03 1.462672557289645958e-02
2.980389999999999873e+03 1.478838219896596098e-02
2.981389999999999873e+03 1.471791177951358755e-02
2.982389999999999873e+03 1.482595568973937850e-02
2.983389999999999873e+03 1.476386936912672809e-02
2.984389999999999873e+03 1.464977157688861220e-02
2.985389999999999873e+03 1.497727802943406468e-02
2.986389999999999873e+03 1.470544250774960364e-02
2.987389999999999873e+03 1.460173828481127825e-02
2.988389999999999873e+03 1.499130299016127738e-02
2.989389999999999873e+03 1.471207789800279067e-02
2.990389999999999873e+03 1.471103901664452297e-02
2.991389999999999873e+03 1.492139611140925852e-02
2.992389999999999873e+03 1.469844829976432385e-02
2.993389999999999873e+03 1.481262508628780963e-02
2.994389999999999873e+03 1.476489891341621792e-02
2.995389999999999873e+03 1.474526725704999180e-02
2.996389999999999873e+03 1.490491158131452588e-02
2.997400000000000091e+03 1.473709745735518779e-02
2.998389999999999873e+03 1.491452725964351189e-02
2.999389999999999873e+03 1.483318698320109687e-02
3.000389999999999873e+03 1.467462353244810593e-02
3.001389999999999873e+03 1.502994392463979922e-02
3.002389999999999873e+03 1.477387628515591800e-02
3.003389999999999873e+03 1.466668803624280107e-02
3.004389999999999873e+03 1.501374434708305401e-02
3.005389999999999873e+03 1.475809927060775517e-02
3.006389999999999873e+03 1.478995272282507614e-02
3.007389999999999873e+03 1.491628742353242817e-02
3.008389999999999873e+03 1.471906658433395389e-02
3.009389999999999873e+03 1.487997169449501063e-02
3.010389999999999873e+03 1.480981292719650740e-02
3.011389999999999873e+03 1.482833443496917210e-02
3.012389999999999873e+03 1.489212696567885838e-02
3.013389999999999873e+03 1.477694605479205892e-02
3.014389999999999873e+03 1.503266587245894251e-02
3.015389999999999873e+03 1.485256995979057290e-02
3.016389999999999873e+03 1.471135980700525626e-02
3.017389999999999873e+03 1.509916433333513899e-02
3.018389999999999873e+03 1.482559935822731940e-02
3.019389999999999873e+03 1.473665071926144252e-02
3.020389999999999873e+03 1.507390901709018509e-02
3.021389999999999873e+03 1.480706584078917212e-02
3.022389999999999873e+03 1.485516369407903839e-02
3.023389999999999873e+03 1.491212239565797154e-02
3.024389999999999873e+03 1.480860579348145835e-02
3.025389999999999873e+03 1.498506777555759679e-02
3.026389999999999873e+03 1.485682173705127514e-02
3.027389999999999873e+03 1.496585820188334887e-02
3.028389999999999873e+03 1.498097929460355526e-02
3.029389999999999873e+03 1.484541056218057972e-02
3.030389999999999873e+03 1.515785916536990970e-02
3.031389999999999873e+03 1.493313865590855868e-02
3.032389999999999873e+03 1.479939231281161664e-02
3.033389999999999873e+03 1.516088625937741380e-02
3.034389999999999873e+03 1.492607845380311722e-02
3.035389999999999873e+03 1.490733748535020414e-02
3.036389999999999873e+03 1.507571762224063985e-02
3.037389999999999873e+03 1.489886211494758500e-02
3.038389999999999873e+03 1.504675994601023699e-02
3.039389999999999873e+03 1.496305619032128192e-02
3.040389999999999873e+03 1.493346218222686358e-02
3.041389999999999873e+03 1.512100232732752764e-02
3.042389999999999873e+03 1.495273976072587600e-02
3.043389999999999873e+03 1.511885333333333296e-02
3.044389999999999873e+03 1.508645748728252266e-02
3.045400000000000091e+03 1.495116541914571356e-02
3.046389999999999873e+03 1.529671883263043417e-02
3.047389999999999873e+03 1.506518166297011324e-02
3.048389999999999873e+03 1.495786228707998711e-02
3.049389999999999873e+03 1.530304766727522137e-02
3.050389999999999873e+03 1.503011030243357228e-02
3.051389999999999873e+03 1.506828920793056720e-02
3.052389999999999873e+03 1.521708677835653147e-02
3.053389999999999873e+03 1.505832335490467876e-02
3.054389999999999873e+03 1.521974850435073474e-02
